OBJECTID,id,asset_id,status,common_name,genus,species,variety,species_code,dbh,dbh_range,age,planted_date,canopy,canopy_m,health,height,height_m,legal,risk,riskid,structure,ule,vigour,circumference,overhead_cables,base_material,park_tree,private_tree,geom,lng,lat,approx_address,suburb,significant_tree,next_inspection_due,tpz,srz,removed_date,removed_reason,removed_notes,created_at,updated_at,Key,asset_file,Genus,MatchType,FinalAsset_LowPoly,FinalAsset_Realistic,FinalAsset_Schematic,FinalAsset_Fan,FinalAsset
19358,4669892,166840,Tree,Blakely'S Red Gum,Eucalyptus,Blakelyi,,0,80,,Mature,,10-20m,16,Good,>20m,22,,,0,Good,,High Vigour,2-3m,,,1,0,0101000020E6100000C9570229B15261409F842560EC7341C0,138.584126,-34.90565111,Park 01 - Pirltawardli - Park Tree - Eucalyptus Blakelyi,North Adelaide,No,24/07/2027 0:00,9.6,3.14,,,,24/07/2024,24/07/2024 0:00,EucalyptusBlakelyi,,,Genus fallback,assets/Trees/LowPoly/EucalyptusGlobulus.glb,assets/Trees/Realistic/EucalyptusGlobulus.glb,assets/Trees/Schematic/EucalyptusGlobulus.glb,assets/Trees/Fan/EucalyptusGlobulus.glb,assets/Trees/LowPoly/EucalyptusGlobulus.glb
19557,4670091,167057,Tree,Sweet Bursaria,Bursaria,Spinosa,,0,2,,Young,,<2m,4,Good,<5m,3,,,0,Good,,High Vigour,Less than 1m,,,1,0,0101000020E610000027EA16CBBE52614006B9AC3EAE7341C0,138.5857902,-34.90375503,Park 01 - Pirltawardli - Park Tree - Umbellularia Californica,North Adelaide,No,24/07/2027 0:00,2,1.5,,,,24/07/2024,24/07/2024 0:00,BursariaSpinosa,,,Unknown,assets/Trees/LowPoly/Unknown.glb,assets/Trees/Realistic/Unknown.glb,assets/Trees/Schematic/Unknown.glb,assets/Trees/Fan/Unknown.glb,assets/Trees/LowPoly/Unknown.glb
19564,4670098,167066,Tree,Showy Honey-Myrtle,Melaleuca,Nesophila,,0,54,,Mature,,10-20m,9,Good,5-10m,5,,,0,Poor,,High Vigour,1-2m,,,1,0,0101000020E6100000A3474211C152614085CA01B3A97341C0,138.5860678,-34.90361631,Park 01 - Pirltawardli - Park Tree - Melaleuca Nesophila,North Adelaide,No,24/07/2027 0:00,6.48,2.66,,,,24/07/2024,24/07/2024 0:00,MelaleucaNesophila,,,Unknown,assets/Trees/LowPoly/Unknown.glb,assets/Trees/Realistic/Unknown.glb,assets/Trees/Schematic/Unknown.glb,assets/Trees/Fan/Unknown.glb,assets/Trees/LowPoly/Unknown.glb
19663,4670197,167181,Tree,Arizona Ash,Fraxinus,Velutina,,0,45,,Mature,,,8,Good,5-10m,10,,,0,Good,,Medium Vigour,1-2m,,,1,0,0101000020E610000072E14048D6526140432EE53A957341C0,138.5886575,-34.90299164,Park 01 - Pirltawardli - Park Tree - Fraxinus Velutina,North Adelaide,No,24/07/2027 0:00,5.4,2.46,,,,24/07/2024,24/07/2024 0:00,FraxinusVelutina,,,Genus fallback,assets/Trees/LowPoly/FraxinusAmericana.glb,assets/Trees/Realistic/FraxinusAmericana.glb,assets/Trees/Schematic/FraxinusAmericana.glb,assets/Trees/Fan/FraxinusAmericana.glb,assets/Trees/LowPoly/FraxinusAmericana.glb
20032,4670566,167586,Tree,Pittosporum Species,Pittosporum,Sp.,,0,28,,Mature,,5-10m,0,Good,5-10m,0,,,0,Good,,Medium Vigour,Less than 1m,,,1,0,0101000020E6100000D943FB5881536140BCC78089CB7741C0,138.6095395,-34.93589896,Park 18 - Wita Wirra - Himeji -Park Tree - Pittosporum sp.,Adelaide,No,1/05/2027 0:00,3.36,2.02,,,,1/05/2024,1/05/2024 0:00,PittosporumSp.,,,Unknown,assets/Trees/LowPoly/Unknown.glb,assets/Trees/Realistic/Unknown.glb,assets/Trees/Schematic/Unknown.glb,assets/Trees/Fan/Unknown.glb,assets/Trees/LowPoly/Unknown.glb
20043,4670578,168592,Tree,Sheoak,Allocasuarina,Sp.,,0,0,,Semi Mature,,,0,,,3,,,0,,,Low Vigour,,,,1,0,0101000020E6100000103D29931A5361407097BB9E817341C0,138.596994,-34.90239319,Park 04 - Kangatilla - Park Tree - Allocasuarina Sp.,North Adelaide,No,1/05/2027 0:00,,,,,,1/05/2024,1/05/2024 0:00,AllocasuarinaSp.,,,Unknown,assets/Trees/LowPoly/Unknown.glb,assets/Trees/Realistic/Unknown.glb,assets/Trees/Schematic/Unknown.glb,assets/Trees/Fan/Unknown.glb,assets/Trees/LowPoly/Unknown.glb
20047,4670582,169598,Tree,Argyle Apple,Eucalyptus,Cinerea,,0,66,,Mature,,5-10m,0,Average,5-10m,13,,Low,1,Average,10-20 years,Medium Vigour,1-2m,,,1,0,0101000020E6100000A93F0CBE7A5361406056CD188B7441C0,138.6087332,-34.9104949,Park 10 - Warnpangga -Park Tree - Eucalyptus cinerea,North Adelaide,No,28/04/2028 14:09,7.92,2.89,,,,24/07/2024,28/04/2025 14:09,EucalyptusCinerea,,,Genus fallback,assets/Trees/LowPoly/EucalyptusGlobulus.glb,assets/Trees/Realistic/EucalyptusGlobulus.glb,assets/Trees/Schematic/EucalyptusGlobulus.glb,assets/Trees/Fan/EucalyptusGlobulus.glb,assets/Trees/LowPoly/EucalyptusGlobulus.glb
20991,4671539,168644,Tree,Rough Barked Apple,Angophora,Floribunda,,0,28,,Senescent,,,0,Poor,5-10m,7,,,0,Good,,Medium Vigour,Less than 1m,,,1,0,0101000020E61000007F2CE9CD8D5261409BB09A3A517541C0,138.5798101,-34.91654141,Park 27 - Tulya Wardli - Bonython - Park Tree - Angophora Floribunda,Adelaide,No,24/07/2027 0:00,3.36,2.02,,,,24/07/2024,24/07/2024 0:00,AngophoraFloribunda,,,Unknown,assets/Trees/LowPoly/Unknown.glb,assets/Trees/Realistic/Unknown.glb,assets/Trees/Schematic/Unknown.glb,assets/Trees/Fan/Unknown.glb,assets/Trees/LowPoly/Unknown.glb
21064,4671612,168724,Tree,Red Mallee,Eucalyptus,Oleosa,,0,8,,Juvenile,,2-5m,0,Good,<5m,5,,,0,Good,,High Vigour,Less than 1m,,,1,0,0101000020E6100000DFA5D42523536140027C5CC0707341C0,138.5980405,-34.9018784,Park 04 - Kangatilla -Park Tree - Eucalyptus oleosa,North Adelaide,No,24/07/2027 0:00,2,1.5,,,,24/07/2024,24/07/2024 0:00,EucalyptusOleosa,,,Genus fallback,assets/Trees/LowPoly/EucalyptusGlobulus.glb,assets/Trees/Realistic/EucalyptusGlobulus.glb,assets/Trees/Schematic/EucalyptusGlobulus.glb,assets/Trees/Fan/EucalyptusGlobulus.glb,assets/Trees/LowPoly/EucalyptusGlobulus.glb
22253,4672802,169999,Tree,Tasmanian Snow Gum,Eucalyptus,Coccifera,,0,55,,Mature,,,0,Good,10-20m,14,,,0,Good,,High Vigour,1-2m,,,1,0,0101000020E61000000A87399C94526140D3F0351DE47441C0,138.5806409,-34.91321149,Park 27A - Tulya Wardli - John E. Brown - Park Tree - Eucalyptus Eucalyptus Coccifera,North Adelaide,No,24/07/2027 0:00,6.6,2.68,,,,24/07/2024,24/07/2024 0:00,EucalyptusCoccifera,,,Genus fallback,assets/Trees/LowPoly/EucalyptusGlobulus.glb,assets/Trees/Realistic/EucalyptusGlobulus.glb,assets/Trees/Schematic/EucalyptusGlobulus.glb,assets/Trees/Fan/EucalyptusGlobulus.glb,assets/Trees/LowPoly/EucalyptusGlobulus.glb
