id,asset_id,status,common_name,genus,species,variety,species_code,dbh,dbh_range,age,canopy,canopy_m,health,height,height_m,legal,risk,riskid,structure,ule,vigour,circumference,overhead_cables,base_material,park_tree,private_tree,geom,lng,lat,approx_address,suburb,significant_tree,tpz,srz,removed_reason,removed_notes,GlobalID
4657395,152999,Tree,Rottnest Island Pine,Callitris,preissii,None,0,39,None,Mature,5-10m,0,Good,5-10m,5,None,None,0,Good,None,High Vigour,1-2m,,,1,0,0101000020E6100000099B4BBBE2526140D6E6DE47DE7741C0,138.590177199999999,-34.93647097,Park 21 West - Mirnu Wirra - Lundie -Park Tree - Callitris preissii,Adelaide,No,4.680000000000000,2.320000000000000,None,None,{341DB493-02A0-4FA0-AA80-952415F2250C}
4657487,153101,Tree,Hawthorn,Crataegus,monogyna,None,0,47,None,Mature,5-10m,0,Good,5-10m,5,None,None,0,Poor,None,High Vigour,1-2m,,,1,0,0101000020E6100000812D65CFD452614047F0B724A47441C0,138.588477799999993,-34.91125926,Park 01 - Pirltawardli - Park Tree - Crataegus Monogyna,North Adelaide,No,5.640000000000000,2.510000000000000,None,None,{A5230B0B-D1D4-4C28-AA24-8D1C0B7A15F3}
4657493,153116,Tree,Cypress,Cupressus,sp.,None,0,46,None,Mature,10-20m,0,Good,10-20m,5,None,None,0,Good,None,Medium Vigour,1-2m,,,1,0,0101000020E6100000A3320FAADE526140E5C95E84E37741C0,138.589680700000002,-34.93663077,Park 21 West - Mirnu Wirra - Lundie -Park Tree - Cupressus sp.,Adelaide,No,5.520000000000000,2.490000000000000,None,None,{5DB7C5EF-E1C3-4B4C-B690-6D465A7E1D0F}
4657494,153117,Tree,Erythrina Species,Erythrina,sp.,None,0,85,> 60cm,Mature,5-10m,0,Average,5-10m,10,None,Moderate,2,Fair,10-20 years,High Vigour,2-3m,,,1,0,0101000020E61000004F8AA07B60536140B1C5A84A5F7641C0,138.605527700000010,-34.92478307,Hindmarsh Sq - Mukata -Park Tree - Erythrina sp.,Adelaide,Yes,10.199999999999999,3.220000000000000,None,None,{8EE316D9-E8E6-4EEE-8062-81EDF25D8799}
4657495,153118,Tree,African Coral Tree,Erythrina,caffra,None,0,61,None,Mature,5-10m,8,Good,5-10m,10,None,Low,1,Good,10-20 years,High Vigour,1-2m,,,1,0,0101000020E610000081711530665361402D878A2F627641C0,138.606224099999991,-34.92487139,Hindmarsh Sq - Mukata -Park Tree - Erythrina caffra,Adelaide,No,7.320000000000000,2.800000000000000,None,None,{6EA461C9-2A23-4328-AEF7-83E5AD42DDA5}
4657707,153366,Tree,Desert Ash,Fraxinus,oxycarpa,None,0,67,> 60cm,Mature,5-10m,10,Good,5-10m,12,None,Low,1,Good,> 20 years,Medium Vigour,2-3m,,,1,0,0101000020E6100000108BBDBC655361407C133B016A7641C0,138.606169099999988,-34.92511001,Hindmarsh Sq - Mukata -Park Tree - Fraxinus oxycarpa,Adelaide,No,8.039999999999999,2.910000000000000,None,None,{B591B7F0-26DE-42A9-A19B-C8C3AACD4017}
4657741,153406,Tree,Green Ash,Fraxinus,pennsylvanica,None,0,21,None,Mature,5-10m,0,Good,5-10m,5,None,Low,1,Good,10-20 years,High Vigour,Less than 1m,,,1,0,0101000020E6100000DA9FD513675361400C049E07397641C0,138.606332699999996,-34.92361541,Hindmarsh Sq - Mukata -Park Tree - Fraxinus pennsylvanica,Adelaide,No,2.520000000000000,1.790000000000000,None,None,{8BACFCF1-4B51-4AB9-9491-CC93F027A5D7}
4657779,153446,Tree,Sheoak,Casuarina,sp.,None,0,35,None,Mature,10-20m,0,Good,10-20m,5,None,None,0,Good,None,Low Vigour,1-2m,,,1,0,0101000020E610000067C691BDD45261406E3913AA867841C0,138.588469300000014,-34.94160963,Park 22 - Wikaparntu Wirra -Park Tree - Casuarina sp.,Adelaide,No,4.200000000000000,2.220000000000000,None,None,{B360D57C-4CBB-48D2-A71A-C588BBD88131}
4657783,153451,Tree,Pine Species,Pinus,sp.,None,0,91,> 60cm,Mature,5-10m,0,Good,10-20m,20,None,Low,1,Good,> 20 years,High Vigour,2-3m,,,1,0,0101000020E61000000DB21B6C60536140943AB7BF697641C0,138.605520299999995,-34.9251022,Hindmarsh Sq - Mukata -Park Tree - Pinus sp.,Adelaide,Yes,10.920000000000000,3.310000000000000,None,None,{E4A8FE88-5984-4BF4-BA87-424C1F39C40C}
4657831,153502,Tree,Monterey Pine,Pinus,radiata,None,0,45,None,Mature,>20m,0,Good,>20m,20,None,None,0,Good,None,High Vigour,1-2m,,,1,0,0101000020E610000067FEE263C15261408AA50E13897841C0,138.586107199999987,-34.94168318,Park 22 - Wikaparntu Wirra -Park Tree - Pinus radiata,Adelaide,No,5.400000000000000,2.460000000000000,None,None,{99234C96-E591-4F34-8FC9-B2CB737AA59A}
4657858,153533,Tree,White Fastigiate Poplar,Populus,alba,Pyramidalis,0,0,> 60cm,Mature,10-20m,0,Average,10-20m,0,None,Low,1,Fair,10-20 years,High Vigour,2-3m,,,1,0,0101000020E61000009D4CDC2A8853614048C06C2B0B7841C0,138.610372000000012,-34.93784087,Park 19 - Pityarrilla -Park Tree - Populus alba,Adelaide,No,,,None,None,{741C5E3E-8D8F-45AE-B955-B640B7FA9E12}
4657859,153534,Tree,Evergreen Oak,Quercus,ilex,None,0,38,30-45cm,Mature,5-10m,0,Good,5-10m,0,None,Low,1,Good,> 20 years,High Vigour,1-2m,,,1,0,0101000020E610000032B6C656865361406D7E70FCD87741C0,138.610148799999990,-34.93630939,Park 18 - Wita Wirra -Park Tree - Quercus ilex,Adelaide,No,4.560000000000000,2.290000000000000,None,None,{639C8AD3-97C3-4A28-89DF-78124C6F0502}
4657864,153540,Tree,Boer-Bean,Schotia,brachypetala,None,0,46,None,Mature,10-20m,15,Good,5-10m,6,None,Low,1,Good,> 20 years,High Vigour,1-2m,,,1,0,0101000020E6100000418F62CAD1526140FCE0DF14947441C0,138.588109199999991,-34.91076909,Park 01 - Pirltawardli - Park Tree - Schotia Brachypetala 'Schotia Brachypetala',North Adelaide,No,5.520000000000000,2.490000000000000,None,None,{F7D00107-D6E2-4DD6-A77E-6469DC2A06A6}
4658009,153697,Tree,Cape Chestnut,Calodendrum,capense,None,0,7,None,Juvenile,2-5m,0,Good,<5m,5,None,None,0,Good,None,High Vigour,Less than 1m,,,1,0,0101000020E6100000FE26B9682D5361403AC9DACFF77441C0,138.599293100000011,-34.91381262,Park 12 - Karrawirra - Pennington East - Park Tree - Calodendron Capense,North Adelaide,No,2.000000000000000,1.500000000000000,None,None,{A146F7DD-9FCA-4CF3-8015-BB42C390C1E7}
4658012,153700,Tree,Swamp White Oak,Quercus,bicolor,None,0,70,> 60cm,Mature,10-20m,0,Good,5-10m,10,None,None,0,Good,None,High Vigour,2-3m,,,1,0,0101000020E610000062E6F16A2F536140DA5AFCF9F87441C0,138.599538300000006,-34.91384816,Park 12 - Karrawirra - Pennington East - Park Tree - Quercus Bicolor,North Adelaide,No,8.400000000000000,2.970000000000000,None,None,{4ED91EB8-B212-41D5-A438-FABF275642A8}
4658050,153744,Tree,Northern Pin Oak,Quercus,ellipsoidalis,None,0,54,None,Mature,None,0,Good,5-10m,10,None,None,0,Good,None,High Vigour,1-2m,,,1,0,0101000020E61000006836340A2E5361402D95B7231C7541C0,138.599370099999987,-34.91492125,Park 12 - Karrawirra - Pennington East - Park Tree - Quercus Ellipsoidalis,North Adelaide,No,6.480000000000000,2.660000000000000,None,None,{1F2634A1-C9DA-4563-8B2E-36BF91521D27}
4658057,153751,Removed,Atlas Cedar,Cedrus,atlantica,None,0,7,None,Juvenile,<2m,1,Good,<5m,3,None,None,0,Good,None,Medium Vigour,Less than 1m,,,1,0,0101000020E6100000F4AED5792F536140C3073C510E7541C0,138.599545400000011,-34.91449943,Park 12 - Karrawirra - Pennington East - Park Tree - Cedrus Sp.,North Adelaide,No,2.000000000000000,1.500000000000000,Dead,None,{9187EBD9-E91A-48F4-BF20-00BE852C5277}
4658060,153754,Tree,Orchid Tree,Bauhinia,variegata,None,0,39,None,Mature,5-10m,0,Good,<5m,5,None,None,0,Good,None,Medium Vigour,1-2m,,,1,0,0101000020E610000010E099752B53614019CC1D05217541C0,138.599055099999987,-34.91507019,Park 12 - Karrawirra - Pennington East - Park Tree - Bauhinia Sp.,North Adelaide,No,4.680000000000000,2.320000000000000,None,None,{BD02B3DA-C036-4740-80DC-8D9FB70470DD}
4658065,153759,Tree,Camphor Laurel,Cinnamomum,camphora,None,0,25,None,Mature,5-10m,0,Good,5-10m,5,None,None,0,Good,None,High Vigour,Less than 1m,,,1,0,0101000020E61000002E69D6632C5361403A1AB0790F7541C0,138.599168700000007,-34.91453477,Park 12 - Karrawirra - Pennington East - Park Tree - Cimmamomum Camphora,North Adelaide,No,3.000000000000000,1.920000000000000,None,None,{E1221516-0B42-4D21-AA7D-B9F1464C424F}
4658081,153776,Tree,Australian Red Cedar,Toona,ciliata,None,0,47,None,Mature,None,0,Good,5-10m,10,None,None,0,Average,None,Medium Vigour,1-2m,,,1,0,0101000020E6100000A9F8BF232A5361401108AED1F67441C0,138.598894000000001,-34.91378232,Park 12 - Karrawirra - Pennington East - Park Tree - Unknown,North Adelaide,No,5.640000000000000,2.510000000000000,None,None,{DF827231-4950-4B52-9E1B-81A014AB19D5}
4658085,153780,Tree,Date Palm,Phoenix,dactilifera,None,0,58,45-60cm,Mature,5-10m,0,Good,10-20m,0,None,Low,1,Fair,10-20 years,High Vigour,1-2m,,,1,0,0101000020E61000001DE159271353614081D8A924787441C0,138.596088100000003,-34.90991648,Park 29 - Tantutitingga - Park Tree - Phoenix Dactylifera,North Adelaide,No,6.960000000000000,2.740000000000000,None,None,{90D8259E-75BA-490B-8D92-9E23307C3861}
4658093,153789,Tree,Chilean Wine Palm,Jubaea,chilensis,None,0,110,> 60cm,Mature,5-10m,0,Good,10-20m,0,None,Low,1,Good,> 20 years,High Vigour,Above 3m,,,1,0,0101000020E61000005468C5DC1A536140FC6C26D77B7441C0,138.597029099999986,-34.91002931,Park 29 - Tantutitingga - Park Tree - Syagrus Romanzoffiana,North Adelaide,No,13.199999999999999,3.590000000000000,None,None,{C2B33473-CE2C-4704-84CC-A84E1DBAE524}
4658131,153827,Tree,Chilean Wine Palm,Jabaea,chilensis,None,0,95,> 60cm,Mature,5-10m,0,Average,10-20m,0,None,Low,1,Fair,10-20 years,High Vigour,Above 3m,,,1,0,0101000020E6100000FD06376322536140DDEEA322677441C0,138.597947699999992,-34.90939744,Park 29 - Tantutitingga - Park Tree - Jubaea Chilensis,North Adelaide,No,11.400000000000000,3.370000000000000,None,None,{39FF522A-86C5-4787-AADA-21C73DE731F3}
4658141,153839,Tree,Mullberry,Morus,rubra,None,0,19,15-30cm,Juvenile,<2m,0,Average,<5m,0,None,Low,1,Fair,10-20 years,High Vigour,Less than 1m,,,1,0,0101000020E6100000B39A09E12C5361406160CA7E657441C0,138.599228399999987,-34.90934739,Park 29 - Tantutitingga - Park Tree - Morus Rubra,North Adelaide,No,2.280000000000000,1.710000000000000,None,None,{F8FD54FC-042C-4690-94CC-53BD3BEABF17}
